K_mean,Linf_H,yef,bet1,bet2,ppt,osp,ple1,ple2,stn1,stn2,stn3,stn4,stn5,,,
0.450698428,69.89468058,0.133176108,1.190167666,0.392577406,-0.327351687,0.133644566,-0.067810238,-0.118526699,0.121338923,-0.291438324,0.192733953,-0.107385947,0.093147334,,,
0.274316848,80.82684752,0.12813912,1.277095291,0.395938348,-0.330842236,0.128188561,-0.052434152,-0.132001287,0.123229437,-0.330779164,0.336281338,-0.08377734,0.089425433,,,
0.168242204,65.46560939,0.133519242,1.539701117,0.396292954,-0.289236451,0.108885539,-0.053046055,-0.118660263,0.110562535,-0.293611784,0.307315657,-0.077770179,0.064058178,,,
0.272535023,49.01481237,0.140771525,1.18787375,0.35010599,-0.280019251,0.100305053,-0.046982577,-0.124192251,0.091862109,-0.291003142,0.456605158,-0.002578782,0.053814747,,,
0.279392531,85.4037222,0.153028077,1.00908549,0.397580562,-0.316373651,0.098579641,-0.047755943,-0.115460388,0.108526019,-0.310961162,0.406877077,-0.046185681,0.115672842,,,
0.123405839,57.93779831,0.143863032,1.014576416,0.366788801,-0.342768716,0.116043703,-0.055494046,-0.124317144,0.125306495,-0.341862689,0.523968105,-0.098516562,0.0937203,,,
0.048555296,56.97860214,0.160028148,1.092893558,0.379358786,-0.324284435,0.131832023,-0.085910159,-0.129861542,0.094690321,-0.320404492,0.234267697,-0.106305032,0.087350195,,,
0.546405764,38.61848131,0.148677689,0.897389481,0.384229754,-0.369397445,0.125146142,-0.057789932,-0.100176793,0.10744325,-0.332061281,0.498216431,-0.076694577,0.096358096,,,
0.25675801,46.93162355,0.140806896,0.858189226,0.385236244,-0.376768848,0.118217392,-0.060534744,-0.115663349,0.094050919,-0.315555753,0.609120676,-0.05737066,0.111712596,,,
0.063619458,38.66005903,0.140168131,1.072644897,0.382920524,-0.36561666,0.11513734,-0.061640333,-0.12058879,0.120174241,-0.280417153,0.488908332,-0.109413941,0.083946184,,,
0.082214753,43.4549724,0.141076869,1.07781596,0.377439172,-0.424690597,0.10602349,-0.055610289,-0.111014085,0.104086422,-0.327524202,0.569970552,-0.061959852,0.097625375,,,
0.250787676,74.85992333,0.139132046,1.554789296,0.377825789,-0.34333696,0.096729577,-0.046431906,-0.122798845,0.092893128,-0.383192292,0.52434192,-0.002067773,0.089024292,,, 
