WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00570COMX,ANDERSON LAKE,ANDERSON,13.39098974,2289.929,527,-125.1985764,49.73053147,1338,2331,5,8,16,48,134,218,296,300,198,90,18,7,4,Unknown,1,,1
00297GOLD,ANTLER LAKE,ANTLER,20.33083703,3301.801,121,-126.0528075,49.80445052,1870,2757,11,18,39,97,199,289,380,381,274,138,32,11,5,Family,1,,2
00066TAHS,,ARTLISH(ARTLISH),5.48410998,931.6502,357,-126.9676005,50.18200557,1433,4066,13,15,25,57,140,209,290,302,220,119,31,12,1,Unknown,1,,3
00465ALBN,ASH LAKE,ASH,61.00155063,5036.3426,206,-125.0980158,49.41673242,1835,2318,10,16,35,84,190,278,376,382,277,140,34,12,4,Unknown,1,,4
00588COMX,BATTLESHIP LAKE,BATTLESHIP,13.99899083,3712.2159,1165,-125.3098916,49.72397188,869,2992,2,3,6,14,59,126,213,229,149,54,9,3,1,Regional,1,,5
00789COMX,LAKE BEAUTIFUL,BEAUTIFUL,5.96316861,2269.6332,1127,-125.3364776,49.68788298,909,2988,2,3,6,16,64,133,223,238,155,57,8,3,1,Unknown,1,,6
00003BRKS,BEAVER LAKE,BEAVER,18.82851382,1841.4475,83,-127.3142524,50.6007636,1565,2121,19,26,42,77,156,218,291,302,229,138,46,22,5,Unknown,1,,7
00247VICT,BEAVER LAKE,"BEAVER(BEAVER-ELK, ELK-BEAVER)",39.88174359,4546.9458,65,-123.3925272,48.51275792,2014,888,29,41,66,118,210,285,361,362,276,167,67,34,10,Unknown,1,,8
00121CAMB,BEAVERTAIL LAKE,BEAVERTAIL,107.644878,7398.8876,274,-125.5075107,49.98366167,1604,1480,7,11,24,69,171,256,343,347,235,111,23,8,4,Family,1,,9
00023COWN,BLACKJACK LAKE,BLACKJACK,3.88078189,895.1467,287,-124.1636265,49.14934865,1667,1600,9,14,30,73,170,258,349,353,249,122,28,12,6,Unknown,1,,10
