K_mean,Linf_H,yef,bet[1],bet[2],ppt,osp,ple[1],ple[2],stn[1],stn[2],stn[3],stn[4],stn[5]
0.096773334,73.1663398,0.132261372,0.806778767,0.325841878,-0.352037712,-0.100826208,0.021660499,0.041853718,0.085591045,-0.477730084,0.237455764,-0.070137698,0.100768653
0.077714958,75.64784665,0.134946127,1.088731501,0.327626752,-0.327843941,-0.111801807,0.023355511,0.038218991,0.060738848,-0.417395602,0.488881455,-0.086389647,0.084415317
0.330501151,65.54887712,0.1301566,0.741319898,0.355420293,-0.373483858,-0.106985175,0.020301314,0.048472215,0.029709342,-0.417259184,0.341388863,-0.091026177,0.057697902
0.156831772,68.83260682,0.123818898,1.051854709,0.352302839,-0.368610843,-0.090561791,0.020631376,0.056779132,0.060747514,-0.458885168,0.432387259,-0.092946254,0.08764526
0.156559901,44.73934356,0.115114204,0.86722922,0.333559765,-0.334067898,-0.095832194,0.024744162,0.043589753,0.067941106,-0.399123261,0.447976447,-0.03546289,0.105505536
0.00558458,69.5861937,0.09829104,1.122737607,0.327663211,-0.347784166,-0.102770102,0.020518351,0.044109425,0.059898386,-0.370756545,0.38008794,-0.102532906,0.082470747
0.311151405,73.45466465,0.105315204,1.056829947,0.333863198,-0.319222267,-0.097577988,0.02091643,0.04740418,0.040968295,-0.469512853,0.202154752,-0.092492273,0.113474708
0.425302032,22.29309329,0.096938237,1.249173988,0.336553123,-0.320896566,-0.097824555,0.02492669,0.040004823,0.071069238,-0.384979919,0.531519459,-0.065145912,0.104417345
0.21370265,76.50870677,0.090849792,1.318664204,0.365615618,-0.346647902,-0.099466618,0.021978109,0.039321659,0.094313814,-0.395354384,0.393852313,-0.105180689,0.134702361
0.031417932,60.57700865,0.101688655,1.148386911,0.371495524,-0.34065381,-0.102160062,0.018913348,0.047310056,0.100367036,-0.401965263,0.450533045,-0.004187586,0.09148783
0.313068962,63.72663395,0.094452924,1.496920703,0.394302092,-0.321050161,-0.100596968,0.015974883,0.039049285,0.110582137,-0.349621039,0.395206984,-0.04678218,0.076407634
0.343961266,39.84931421,0.074672631,1.742710357,0.343225915,-0.346324442,-0.098965943,0.026191471,0.039338528,0.090797349,-0.316748322,0.332463609,-0.09657156,0.113363582
0.45043805,82.55557059,0.078765273,1.252545005,0.338302381,-0.362896166,-0.095571447,0.02006832,0.035801163,0.095111892,-0.30267925,0.173572544,-0.110266563,0.10352881
0.054809371,77.94539583,0.078458107,1.051454897,0.356425425,-0.423301107,-0.09951862,0.015894614,0.03153093,0.085324836,-0.361761158,0.311653096,-0.111559962,0.109946546
0.261360228,82.18459413,0.077890481,1.122159163,0.338780797,-0.413215834,-0.095365267,0.017850179,0.026981544,0.077784065,-0.365954212,0.470665522,-0.132909145,0.131844637
0.642284316,83.69971616,0.082756449,1.098363208,0.357731936,-0.405537511,-0.092365899,0.01547188,0.035027657,0.07267103,-0.398768941,0.276512098,-0.104921864,0.095126334
0.124210899,61.79725854,0.076959468,1.194964952,0.363555621,-0.394270409,-0.103074114,0.019629497,0.037260087,0.071934761,-0.34203488,0.395436278,-0.075735115,0.112973778
0.188424482,87.5030206,0.081056802,0.856128893,0.311199237,-0.390965783,-0.102629591,0.019843757,0.037546736,0.078158987,-0.337339916,0.52300336,-0.121351014,0.138705701
0.686526092,46.61830534,0.092793879,1.095273941,0.368562671,-0.435109119,-0.106307453,0.018488084,0.034549805,0.052850902,-0.350080793,0.449493076,-0.087861281,0.138995235
0.646150271,49.82991115,0.099650667,0.837069161,0.297670464,-0.384839958,-0.088962416,0.021131527,0.04091667,0.055854481,-0.422272296,0.261358181,-0.134003968,0.113763053
0.194351033,54.59685513,0.112772242,0.58216628,0.357466416,-0.366623346,-0.080509589,0.016774489,0.043196029,0.04720536,-0.413406755,0.254032849,-0.0784606,0.087960569
0.346053558,68.09750979,0.12430014,1.069248351,0.331432612,-0.392923362,-0.062911598,0.018989527,0.027227144,0.040223303,-0.401139568,0.438026527,-0.054611493,0.118780838
0.566139525,32.7485312,0.129198367,0.790051277,0.339114065,-0.327425186,-0.065443345,0.015354447,0.037651949,0.072117532,-0.448292461,0.29076351,0.006822687,0.125656411
0.332382958,86.9256402,0.120130489,0.899857275,0.343679421,-0.294989178,-0.072073252,0.020997879,0.03170731,0.083174034,-0.33864318,0.316362801,0.040284193,0.101417195
0.208336891,44.03717501,0.120511127,1.038492371,0.353803065,-0.222570197,-0.069211636,0.016764171,0.035986271,0.109589453,-0.286990913,0.57250108,-0.058699499,0.109603841
0.394269342,58.62375209,0.117730841,1.163461029,0.402095492,-0.254160239,-0.07364648,0.010311881,0.037787344,0.116108749,-0.338953467,0.468101233,-0.08612535,0.112447938
0.303640029,71.64653837,0.097616948,1.622454125,0.384883213,-0.30664717,-0.082337352,0.014718121,0.039385806,0.117560271,-0.382061503,0.518194311,-0.089141775,0.130524682
0.273082112,66.75257176,0.116111508,1.308544581,0.345615485,-0.352080952,-0.085117304,0.025792381,0.042820204,0.088764482,-0.352708646,0.302258012,-0.042558004,0.127712405
0.048968176,52.6232352,0.117461713,1.304567983,0.374470641,-0.390445258,-0.077541617,0.017082307,0.040193808,0.094128457,-0.377413424,0.326586878,-0.070197037,0.146350294
